  21002598 272.68825562625 53.50038486202                                                                                                                         
  21002602 272.77455218491 53.49383790282 ROTS                               0.37573                   4.0                                                       5
  21003058 272.69447638906 52.49697374424                                                                                                                         
  21018029 272.99886003694 53.16652159351                                                                                                                         
  21018496 273.10838267539 52.72631885851                                                                                                                         
  21018571 273.07714191362 52.66231946751 ELL                                0.99297                   2.0                                                       0
  21031802 273.32093650143 52.41759482892 DSCT                               9.39087                  10.0                                                       3
  21031824 273.30474394444 52.46331384842                                                                                                                         
  21032363 273.18111108466 53.55759823774 VAR                                                                                                                    0
  21032446 273.28087054449 53.70085992454                                                                                                                         
  21123653 274.72589259982 52.82156844523 DSCT                              12.64436                   6.0                                                       3
  21124803 274.85853045266 52.73955986169                                                                                                                         
  21125356 274.85947409954 51.79264246900 VAR                                                                                                                    0
  21161995 275.98759519809 53.82600488548                                                                                                                         
  21162252 275.94991055963 53.30083527610 GDOR                               1.26932                   0.2                                                       0
  21179365 276.04275965268 52.21283070823 GDOR+DSCT                          1.68300                   4.0                                                       0
  21189248 276.48394565251 52.03538735566 GDOR+DSCT                          0.85778                  10.0                                                       5
  21189379 276.53981323532 52.25925622656 EA                                 0.13175 2458715.99110   167.0                                                       0
  21189773 276.41826720510 52.98289712003                                                                                                                         
  21190018 276.53837123680 53.47192458855 ROTS                               0.85863                  10.0                                                       0
  21228242 276.81917463886 53.48442326306                                                                                                                         
  21228288 276.80389630887 53.56452744634                                                                                                                         
  21228320 276.77581987235 53.62544797478                                                                                                                         
  21229078 277.04343267752 52.93095415696 GDOR                               1.76858                   8.0                                                       0
  21282741 277.28684285205 52.61746422960 VAR                                                                                                                    4
  21282988 277.19238767330 53.06854968553 ROTS                               0.79267                   0.5                                                       1
  21283108 277.24132854686 53.26932866910                                                                                                                         
  21283227 277.25964761249 53.47196540491 VAR                                                                                                                    0
  47519171 278.14762662151 52.46730592969                                                                                                                         
  47524619 278.22664644180 52.20730938329                                                                                                                         
  47577452 278.38567049702 52.88790463187                                                                                                                         
  47577541 278.35095326619 53.00893715035                                                                                                                         
  47577695 278.28766911937 53.29092527146 VAR                                                                                                                    2
  47578938 278.47458729842 52.35366661554                                                                                                                         
  47624106 278.73892572690 52.60271090762                                                                                                                         
  47624141 278.76256670130 52.65803119065                                                                                                                         
  47624307 278.70598599447 52.93796422678 GDOR                               0.93966                   4.0                                                       4
  47624553 278.75487587083 53.35956322391                                                                                                                         
  47624584 278.69382216100 53.42873888399                                                                                                                         
  47624602 278.73381283278 53.46134905247 DSCT                              20.28764                   4.0                                                       5
  47624724 278.59016406444 53.72764864371                                                                                                                         
  47624788 278.61214955621 53.83694545455                                                                                                                         
  47625698 278.77879695079 52.54278322274 DSCT                              15.34675                  16.0                                                       0
  47669409 279.01905091931 52.83307264514 VAR                                                                                                                    1
  47670480 279.15578346695 53.09856679278 ROTS                               0.36549                  20.0                                                       2
  47670559 279.19366369314 52.95690769525                                                                                                                         
  47670626 279.14468654609 52.82349718880 DSCT                              19.63514                   3.0                                                       2
  47677211 279.34922780830 52.98609481326 VAR                                                                                                                    1
  47727051 279.36375415252 53.18633539813                                                                                                                         
  47727277 279.46226247567 53.55624990381                                                                                                                         
  47727819 279.49499460202 53.42405934763                                                                                                                         
  47734464 279.71309306640 52.34432989593 DSCT+GDOR                          5.58022                   5.0                                                       1
  47756052 279.96851670274 53.77761907433                                                                                                                         
  47756300 279.98103801573 53.32587471053                                                                                                                         
  47756722 279.94029965206 52.70538307642                                                                                                                         
  47817118 280.06429036379 52.50797480967                                                                                                                         
  47817477 280.19430339747 53.11628279993 VAR                                                                                                                    2
  47818060 280.36311025031 53.83682505662 VAR                                                                                                                    1
  47818814 280.37654136425 52.59506617359                                                                                                                         
  47818858 280.33765705566 52.53247829218 GDOR                               0.78685                   4.0                                                       0
  47874734 280.47715265292 52.55124014243                                                                                                                         
  47875271 280.49284178420 53.39800840795 DSCT+GDOR                         11.98475                   1.0                                                       0
  47875364 280.48388289460 53.53586984144 VAR                                                                                                                    5
  47875674 280.68493762572 53.84102861745                                                                                                                         
  47875757 280.66176515551 53.73541604181 DSCT+GDOR                         11.64500                   5.0                                                       1
  47876171 280.70263906220 52.97813804697 VAR                                                                                                                    1
  47876315 280.74552429839 52.73838059339                                                                                                                         
  47876421 280.61297401962 52.58756393639                                                                                                                         
  47932789 280.77388010542 53.04780195459 GDOR                               3.16896                   1.0                                                       3
  47933142 280.76677662800 53.62442375580 VAR                                                                                                                    0
  47933291 280.87088950769 53.87176555756 GDOR                               2.74800                   6.0                                                       0
  47933546 281.11667006060 53.61282482573 GDOR                               1.20464                   1.0                                                       3
  47972816 281.45373302877 53.65007804117 GDOR                               2.45249                   2.0                                                       2
  47973136 281.43176724991 53.15724994641                                                                                                                         
  48020235 281.61522234125 52.75326297939 DSCT+GDOR                         11.05978                   2.0                                                       5
  48020401 281.53178345346 53.00490218250                                                                                                                         
  48021413 281.77390408331 53.92950696099 VAR                                                                                                                    1
  48087401 281.93020457144 53.19940451908 ROTM|ELL+EB                        0.65200                  16.0                                                       0
  48087539 281.90469448160 53.40172694313 VAR                                                                                                                    0
  48088220 282.18723174558 53.51104204487                                                                                                                         
  48135802 282.32415744959 53.36597776311 GDOR                               0.31119                   0.5                                                       3
  48135956 282.35914162309 53.58838427946 DSCT                              16.30299                   1.0                                                       2
  48136541 282.43581002047 53.45594212165                                                                                                                         
  48136844 282.51627832966 53.02359796587                                                                                                                         
  48193235 282.70482908324 53.23653275299 GDOR+DSCT                          5.04041                   5.0                                                       3
  48221274 282.97258301966 53.06581835483 ELL|EW                             2.89175                   2.0                                                       0
  48221666 283.04499827488 53.63377195717 ROT                                0.71500                   1.0                                                       1
  48309840 283.37561765270 53.60835800500 GDOR                               0.78940                  60.0                                                       2
  48310494 283.58796510578 53.37901894349                                                                                                                         
  48415590 283.98240496319 53.84672857539                                                                                                                         
  48424655 284.20105242123 53.60014182771 VAR                                                                                                                    4
  48445416 284.58064743466 53.52059101571                                                                                                                         
  48500629 284.79822036318 53.45201067257                                                                                                                         
  48500835 284.90233071616 53.75116405529 GDOR                               2.20656                  10.0                                                       3
